predictor,bucket_id,bin_label,edge,n_events,alert_rate,target_alert_rate,relative_error_pct,point_idx,mapping_new_fit_month,eval_month,seed
p2,0,>= 0.2,0.2,119324,0.686760417015856,0.7,-1.8913689977348516,2,4,5,0
p2,1,>= 0.5,0.5,119324,0.30429754282457844,0.35,-13.057844907263297,2,4,5,0
p2,2,>= 0.6,0.6,119324,0.07010324829874963,0.1,-29.896751701250373,2,4,5,0
p2,3,>= 0.8,0.8,119324,0.032550031846066176,0.05,-34.89993630786765,2,4,5,0
custom,0,>= 0.2,0.2,119324,0.7288642687137541,0.7,4.123466959107734,2,4,5,0
custom,1,>= 0.5,0.5,119324,0.36224900271529614,0.35,3.4997150615131902,2,4,5,0
custom,2,>= 0.6,0.6,119324,0.09301565485568704,0.1,-6.984345144312967,2,4,5,0
custom,3,>= 0.8,0.8,119324,0.04393081023096779,0.05,-12.13837953806443,2,4,5,0
default,0,>= 0.2,0.2,119324,0.7218581341557441,0.7,3.1225905936777307,2,4,5,0
default,1,>= 0.5,0.5,119324,0.3726660185712849,0.35,6.476005306081406,2,4,5,0
default,2,>= 0.6,0.6,119324,0.10492440749555831,0.1,4.924407495558309,2,4,5,0
default,3,>= 0.8,0.8,119324,0.05218564580469981,0.05,4.371291609399614,2,4,5,0
raw,0,>= 0.2,0.2,119324,0.004022660990245047,0.7,-99.42533414425071,2,4,5,0
raw,1,>= 0.5,0.5,119324,0.00046931044886192215,0.35,-99.86591130032517,2,4,5,0
raw,2,>= 0.6,0.6,119324,0.00025141631189031546,0.1,-99.74858368810969,2,4,5,0
raw,3,>= 0.8,0.8,119324,8.380543729677181e-06,0.05,-99.98323891254066,2,4,5,0
p1,0,>= 0.2,0.2,108168,0.7449153169144294,0.7,6.416473844918487,3,5,6,0
p1,1,>= 0.5,0.5,108168,0.4109533318541528,0.35,17.41523767261509,3,5,6,0
p1,2,>= 0.6,0.6,108168,0.13501220323940538,0.1,35.01220323940537,3,5,6,0
p1,3,>= 0.8,0.8,108168,0.06978034169070335,0.05,39.5606833814067,3,5,6,0
p1_5,0,>= 0.2,0.2,108168,0.30595924857628876,0.7,-56.29153591767303,3,5,6,0
p1_5,1,>= 0.5,0.5,108168,0.1754030766955107,0.35,-49.88483522985408,3,5,6,0
p1_5,2,>= 0.6,0.6,108168,0.07627024628355891,0.1,-23.729753716441092,3,5,6,0
p1_5,3,>= 0.8,0.8,108168,0.05004252644035204,0.05,0.08505288070408124,3,5,6,0
p2,0,>= 0.2,0.2,108168,0.699014495969233,0.7,-0.1407862901095593,3,5,6,0
p2,1,>= 0.5,0.5,108168,0.36651320168626583,0.35,4.718057624647387,3,5,6,0
p2,2,>= 0.6,0.6,108168,0.11489534797722062,0.1,14.895347977220613,3,5,6,0
p2,3,>= 0.8,0.8,108168,0.059777383329635385,0.05,19.554766659270765,3,5,6,0
custom,0,>= 0.2,0.2,108168,0.7223023445011464,0.7,3.1860492144494907,3,5,6,0
custom,1,>= 0.5,0.5,108168,0.37615560979217516,0.35,7.473031369192911,3,5,6,0
custom,2,>= 0.6,0.6,108168,0.10860883070778789,0.1,8.608830707787881,3,5,6,0
custom,3,>= 0.8,0.8,108168,0.05383292655868649,0.05,7.665853117372973,3,5,6,0
default,0,>= 0.2,0.2,108168,0.7204718585903409,0.7,2.924551227191565,3,5,6,0
default,1,>= 0.5,0.5,108168,0.3887933584794024,0.35,11.083816708400688,3,5,6,0
default,2,>= 0.6,0.6,108168,0.1198228681310554,0.1,19.822868131055397,3,5,6,0
default,3,>= 0.8,0.8,108168,0.06202388876562384,0.05,24.04777753124768,3,5,6,0
raw,0,>= 0.2,0.2,108168,0.005315805044005621,0.7,-99.24059927942777,3,5,6,0
raw,1,>= 0.5,0.5,108168,0.0008227941720286961,0.35,-99.76491595084894,3,5,6,0
raw,2,>= 0.6,0.6,108168,0.0004160195251830486,0.1,-99.58398047481694,3,5,6,0
raw,3,>= 0.8,0.8,108168,8.320390503660972e-05,0.05,-99.83359218992678,3,5,6,0
p1,0,>= 0.2,0.2,96842,0.6978996716300778,0.7,-0.3000469099888762,4,6,7,0
p1,1,>= 0.5,0.5,96842,0.3817455236364387,0.35,9.070149610411066,4,6,7,0
p1,2,>= 0.6,0.6,96842,0.12599904999896738,0.1,25.999049998967376,4,6,7,0
p1,3,>= 0.8,0.8,96842,0.06489952706470332,0.05,29.799054129406642,4,6,7,0
p1_5,0,>= 0.2,0.2,96842,0.27981660849631357,0.7,-60.02619878624091,4,6,7,0
p1_5,1,>= 0.5,0.5,96842,0.1576795192168687,0.35,-54.948708795180366,4,6,7,0
p1_5,2,>= 0.6,0.6,96842,0.06866855290060098,0.1,-31.33144709939903,4,6,7,0
p1_5,3,>= 0.8,0.8,96842,0.04430928729270358,0.05,-11.381425414592847,4,6,7,0
p2,0,>= 0.2,0.2,96842,0.6643501786414985,0.7,-5.092831622643068,4,6,7,0
p2,1,>= 0.5,0.5,96842,0.3199438260258979,0.35,-8.587478278314885,4,6,7,0
p2,2,>= 0.6,0.6,96842,0.08927944486896182,0.1,-10.720555131038187,4,6,7,0
p2,3,>= 0.8,0.8,96842,0.044288635096342496,0.05,-11.422729807315013,4,6,7,0
custom,0,>= 0.2,0.2,96842,0.6833398731955144,0.7,-2.3800181149265125,4,6,7,0
custom,1,>= 0.5,0.5,96842,0.34073026166332787,0.35,-2.648496667620602,4,6,7,0
custom,2,>= 0.6,0.6,96842,0.09618760455174408,0.1,-3.812395448255929,4,6,7,0
custom,3,>= 0.8,0.8,96842,0.04708700770326924,0.05,-5.825984593461523,4,6,7,0
default,0,>= 0.2,0.2,96842,0.6845686788789987,0.7,-2.2044744458573153,4,6,7,0
default,1,>= 0.5,0.5,96842,0.355816691105099,0.35,1.6619117443140072,4,6,7,0
default,2,>= 0.6,0.6,96842,0.10867185725201875,0.1,8.671857252018745,4,6,7,0
default,3,>= 0.8,0.8,96842,0.05474897255323104,0.05,9.497945106462069,4,6,7,0
raw,0,>= 0.2,0.2,96842,0.005276636170256707,0.7,-99.24619483282046,4,6,7,0
raw,1,>= 0.5,0.5,96842,0.0008570661489849446,0.35,-99.75512395743287,4,6,7,0
raw,2,>= 0.6,0.6,96842,0.000454348319943826,0.1,-99.54565168005617,4,6,7,0
raw,3,>= 0.8,0.8,96842,8.2608785444332e-05,0.05,-99.83478242911133,4,6,7,0
p1,0,>= 0.2,0.2,150937,0.7208305451943526,0.7,2.9757921706218116,0,2,3,1
p1,1,>= 0.5,0.5,150937,0.41755831903376905,0.35,19.302376866791164,0,2,3,1
p1,2,>= 0.6,0.6,150937,0.15563447001066671,0.1,55.6344700106667,0,2,3,1
p1,3,>= 0.8,0.8,150937,0.08481021883302305,0.05,69.62043766604609,0,2,3,1
p1_5,0,>= 0.2,0.2,150937,0.30669087102565973,0.7,-56.18701842490575,0,2,3,1
p1_5,1,>= 0.5,0.5,150937,0.18542173224590391,0.35,-47.02236221545602,0,2,3,1
p1_5,2,>= 0.6,0.6,150937,0.09005081590332391,0.1,-9.949184096676097,0,2,3,1
p1_5,3,>= 0.8,0.8,150937,0.06108508848062437,0.05,22.170176961248732,0,2,3,1
p2,0,>= 0.2,0.2,150937,0.731987517971074,0.7,4.5696454244391465,0,2,3,1
p2,1,>= 0.5,0.5,150937,0.4173595606113809,0.35,19.245588746108837,0,2,3,1
p2,2,>= 0.6,0.6,150937,0.15512432339320378,0.1,55.12432339320378,0,2,3,1
p2,3,>= 0.8,0.8,150937,0.08724169686690474,0.05,74.48339373380946,0,2,3,1
