predictor,bucket_id,bin_label,edge,n_events,alert_rate,target_alert_rate,relative_error_pct,point_idx,mapping_new_fit_month,eval_month,seed
p1_5,3,>= 0.8,0.8,147496,0.031065249227097684,0.05,-37.86950154580463,2,4,5,0
p2,0,>= 0.2,0.2,147496,0.6932662580680155,0.7,-0.9619631331406435,2,4,5,0
p2,1,>= 0.5,0.5,147496,0.30749986440310245,0.35,-12.142895884827865,2,4,5,0
p2,2,>= 0.6,0.6,147496,0.06798150458317513,0.1,-32.01849541682487,2,4,5,0
p2,3,>= 0.8,0.8,147496,0.031241525193903563,0.05,-37.51694961219288,2,4,5,0
custom,0,>= 0.2,0.2,147496,0.7401556652383794,0.7,5.736523605482777,2,4,5,0
custom,1,>= 0.5,0.5,147496,0.3695964636329121,0.35,5.598989609403463,2,4,5,0
custom,2,>= 0.6,0.6,147496,0.09307371047350436,0.1,-6.926289526495641,2,4,5,0
custom,3,>= 0.8,0.8,147496,0.043268970005966266,0.05,-13.462059988067473,2,4,5,0
default,0,>= 0.2,0.2,147496,0.7240738731897814,0.7,3.4391247413973565,2,4,5,0
default,1,>= 0.5,0.5,147496,0.37350165428215004,0.35,6.7147583663285895,2,4,5,0
default,2,>= 0.6,0.6,147496,0.10621982969029668,0.1,6.219829690296677,2,4,5,0
default,3,>= 0.8,0.8,147496,0.052781092368606605,0.05,5.5621847372132045,2,4,5,0
raw,0,>= 0.2,0.2,147496,0.0028475348484026685,0.7,-99.59320930737104,2,4,5,0
raw,1,>= 0.5,0.5,147496,0.0002983131745945653,0.35,-99.91476766440157,2,4,5,0
raw,2,>= 0.6,0.6,147496,0.00014237674242013342,0.1,-99.85762325757986,2,4,5,0
raw,3,>= 0.8,0.8,147496,2.7119379508596843e-05,0.05,-99.9457612409828,2,4,5,0
p1,0,>= 0.2,0.2,136092,0.7427108132733738,0.7,6.1015447533391285,3,5,6,0
p1,1,>= 0.5,0.5,136092,0.4056226670193693,0.35,15.892190576962658,3,5,6,0
p1,2,>= 0.6,0.6,136092,0.13243247215119183,0.1,32.432472151191824,3,5,6,0
p1,3,>= 0.8,0.8,136092,0.06865208829321341,0.05,37.30417658642682,3,5,6,0
